State,County,Deaths,Food Environment Index,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),% Adults with Diabetes,95% CI - Low,95% CI - High,% Adults with Obesity,95% CI - Low,95% CI - High,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Food Insecure,% Food Insecure,Segregation Index,Population,Population Size,,,,,Population,
Alaska,Wade Hampton,,,,,,,,,,,,,,,,,,,,,,,,,Small,,,,,,
Alaska,Wrangell-Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,Small,,,,,,
Arizona,Apache,2183,3.1,3.73,36,28,44,2.06,45,22,,41,15,18,16,20,39,34,44,25275,35,14180,22,81,65036,Small,,,,,,
Arizona,La Paz,647,4.7,2.37,29,20,39,1.27,36,,,35,16,13,11,15,36,29,44,5427,26,3110,19,,16710,Small,,,,,,
Arizona,Navajo,3052,4.6,2.46,29,23,35,1.23,47,,18,26,12,13,12,15,39,34,43,27938,26,20340,19,72,109175,Large,,,,,,
Arizona,Mohave,6188,6,1.26,23,16,29,0.45,55,26,17,32,22,11,10,12,37,32,42,37430,19,35030,16,63,223682,Large,,,,,,
Arizona,Santa Cruz,578,5.7,1.52,29,20,37,1.21,,,,28,21,15,13,17,32,26,39,8689,18,8430,18,,49158,Small,,,,,,
Arizona,Graham,673,6.7,0.66,20,16,25,0.17,54,,,20,8,13,11,14,40,33,48,5860,16,5620,15,,39525,Small,,,,,,
Arizona,Cochise,2415,6.6,0.75,20,13,26,0.07,44,12,11,29,14,11,10,12,33,28,38,20429,16,18550,15,58,124640,Large,,,,,,
Arizona,Pinal,7224,7.3,0.15,12,9,16,-0.82,29,3,19,15,13,12,11,13,39,34,43,53409,14,53400,12,53,484239,Large,,,,,,
Arizona,Greenlee,141,7.1,0.32,10,6,13,-1.16,,,,6,10,11,10,13,33,26,40,1185,14,1290,14,59,9369,Small,,,,,,
Arizona,Coconino,2080,7,0.41,21,16,26,0.23,37,,28,16,7,10,9,12,27,23,31,17901,13,20820,14,63,144472,Large,,,,,,
Arizona,Yavapai,4701,7.2,0.24,17,12,22,-0.25,21,34,47,21,16,9,8,10,28,24,32,27392,13,32260,14,73,249081,Large,,,,,,
Arizona,Gila,1542,6.7,0.66,28,20,36,1.11,53,,,11,19,12,10,13,34,30,39,5904,11,9000,17,83,54003,Small,,,,,,
Arizona,Yuma,3256,6.3,1.01,23,17,29,0.49,29,8,31,23,16,14,12,16,42,37,48,20170,10,38510,19,54,213221,Large,,,,,,
